value,sdraiato
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
4095,1
